word;count
we're;1
at;1
the;1
conference;1
lean;1
manufacturing;1
with;1
shi-jie;1
(gary);1
chen,;1
professor;1
of;1
industrial;1
and;3
systems;1
engineering,;1
northern;1
illinois;1
university;1
@niulive;1
@unisabana;5
#semanadeingeniería;33
;82
buenos;2
días;1
esta;3
es;4
la;87
programación;1
de;115
segunda;1
jornada;2
#semanadeingeniería.;4
los;17
invitamos;2
a;17
participar;3
diferentes;2
eventos;1
y;27
conferencias;3
que;19
tenemos;5
para;11
todos;1
ustedes.;1
hoy;5
se;13
terminó;1
el;41
primer;1
dia;1
#semanadeingenieria;12
en;41
@usingenieria;3
mañana;2
seguiremos;1
con;22
muchas;1
más;5
actividades;1
así;4
vivimos;3
nuestra;2
actividad;1
“corcha;1
tu;1
profesor”.;1
estudiantes;4
facultad;14
ingeniería;16
pusieron;1
prueba;1
nuestros;1
profesores;1
las;8
preguntas;1
‘corchadoras’.;1
resultado:;1
mucha;1
diversión,;1
risas;1
aprendizaje.;1
te;4
esperamos;2
2:00;1
p.m.;1
lobby;1
del;13
segundo;1
piso;1
edificio;1
ad;1
portas,;1
celebres;1
nosotros;1
30;2
años;2
facultad.;1
¡contamos;2
contigo!;2
experiencia;2
inmersión;1
total;1
@3govideo;1
@mitsubishi_col;1
u.;1
sabana;1
·;1
“como;1
ingenieros;3
químicos;1
ser;2
responsables;1
cada;1
una;9
decisiones;1
tomemos.;1
no;2
olviden;1
responsabilidades;1
sociedad”.;1
darly;1
miranda,;1
profesional;3
química;1
(cpiq),;1
taller;2
ética;1
iq;1
"en;3
manejo;2
planta;1
lo;5
importante;1
son;1
personas.;1
desafío;1
crear;1
conciencia;1
sobre;5
riesgos;1
existen;1
prevenirlos”.;1
razones;1
utilizar;1
metodologías;1
ágiles,;1
según;1
natalia;2
camargo:;1
acelerar;1
entrega;1
software.;1
mejorar;2
habilidad;1
liderar;1
prioridades;1
cambian;1
constantemente.;1
alineación;1
entre;1
cliente;1
equipo;1
desarrollo.;1
hora;1
nos;5
acompaña;1
camargo,;1
scrum;1
master;1
blackboard;1
conferencia;3
fundamentos;1
agile.;1
¡empieza;1
edición;1
número;1
16;1
semana;6
cumple;1
construir;1
sociedad;1
humana.;1
¡agéndate;1
conferencia:;1
caso;1
éxito;1
3go;1
video;1
realidad;1
virtual-;1
mitsubishi;1
motors!;1
team;1
mecatrónica;1
sps;1
siendo;1
parte;2
#creadoresdeloimposible;1
@unitec_hn;1
honduras;1
muy;2
contento;1
@uaemorelos;1
campus;1
yecapixtla,;1
charla;2
"retos;1
#ingenieríacivil;1
un;4
contexto;1
#fenómenoshidrometeorológicosextremos";1
carrera;1
ingeniero-arquitecto;1
#uameyecapixtla;1
"si;1
queremos;1
entender;1
mundo;2
microbiano;1
#metagénomica;1
camino",;1
juan;4
manuel;4
anzola,;4
docente;4
#ingeniería.;4
futuro,;1
humanidad;1
agobiará;1
escasez;1
recursos;4
naturales",;1
colombia;2
estamos;1
destruyendo;1
ritmo;1
acelerado",;1
"la;1
red;1
biodiversidad;1
soporta;1
todos,;1
por;10
podemos;2
ajenos;1
estos;1
temas",;1
convocatoria;1
concurso;3
robótica.;1
agradezco;1
invitación;2
f.;1
@uaem_mx;1
hablar;1
#capacidadesinstitucionales;1
#movilidad;1
#políticaspúblicas;1
fortalecer;3
diseño;1
proyectos;2
contribuir;1
al;5
cambio;1
institucional;1
registro;1
cena;1
baile;1
o;1
pasos;1
desarmar;1
bomba;1
nuclear;1
?;1
excelente;1
noche;2
conocimiento;1
impartido,;1
gracias;2
#upn;1
#copafu;1
tremenda;1
arrastrada;1
me;1
metieron;1
just;1
dance;1
ultimo;1
día;3
"semana;1
uny;1
2018",;1
inició;1
carrera,;1
participaron;1
todas;1
facultades,;1
demostrando;1
sus;1
habilidades;2
físicas.;1
#rectoruny;1
#genteuny;1
#uny;1
#universidadyacambu;1
#masuny;1
#apoyoalauny;1
#ingeniería;1
cuando;2
quieres;1
cambiar;1
tus;1
fotos;2
modo;1
#semanadeingeniería,;6
pero;1
das;1
cuenta;2
siempre;1
usas;1
esas;1
"no;1
hay;1
decisión,;1
sin;2
emoción;1
ni;1
sentimiento";1
-;2
galdós,;1
2018;4
ya;2
quiero;1
sea;1
puentes!!!;1
#saltillo;1
#uadec;1
buscan;1
destrezas;1
http://intersip.org/2018/10/11/buscan-fortalecer-habilidades-y-destrezas-de-los-estudiantes-con-la-semana-de-ingenieria-2018-2/;1
iniciando;1
turno;1
vespertino,;1
“metodología;1
fca”;1
impartida;2
ing.;2
christian;1
garcia;1
“;1
web;1
performance”;1
ángel;1
ponce.;1
#soypuma;1
cuarta;1
versión;1
contando;1
diversos;1
académicos;1
internacionales;1
expertos;2
tecnologías;1
sector;1
agropecuario.;1
¡excelente;1
jornada!;1
esto;2
paso;1
mientras;2
estábamos;1
jorge;1
chávez;1
(aka.;1
quien;1
hizo;1
vídeo;1
vive;3
drogas;1
trabajo;2
tv;1
azteca;1
comerciales;1
mi;1
niñez);1
#iit;1
#awesome;1
https://ift.tt/2xusxvm;1
nuestro;1
director;3
innovación,;1
rigoberto;1
sáenz;1
presentó;4
@ibero_cdmx;1
platicó;1
“digitalización;1
entorno;1
negocios”.;1
#eyenacción;1
#líderesenacción;1
#innovación;1
propuesta;1
desempeño;1
futuros;1
enmarcado;1
propuestas;1
desarrolladas;1
llevó;1
adelante;1
expresivos;1
cargo;1
gustavo...;1
https://ing.unrc.edu.ar/noticia-info.php?id=346;1
grupo;1
sistemas;1
tiempo;1
real,;1
ingeniero;2
martín;1
escobar;1
tarde;2
miércoles;2
competencia;2
robots,;1
marco;3
#semanadeingeniería;;1
explicando;1
algunas;1
reglamentaciones;1
mostrando;1
algunos;1
prototipos.;1
https://ing.unrc.edu.ar/noticia-info.php?id=345;1
vehículos;2
solares;1
rodolfo;1
stoll;1
“concurso;1
impulsado;1
energía...;1
https://ing.unrc.edu.ar/noticia-info.php?id=344;1
primera;1
tuvo;1
como;3
protagonistas;1
grupos;3
laboratorios;1
#investigación;1
ingeniería,;1
espacio;1
divulgación...;1
https://facebook.com/permalink.php?story_fbid=2033903186633960&id=459266884097606;1
#gstr;1
presenta;1
#robots;1
aula;1
4;2
dtq;2
https://facebook.com/459266884097606/videos/690900991268235/;1
presentación;1
dpto.;1
electricidad;1
electrónica;1
https://facebook.com/459266884097606/videos/225537134782782/;1
#ahora;1
iniciamos;1
https://facebook.com/459266884097606/videos/2079961678682170/;1
martes;1
21;3
dará;1
inicio;3
inscripciones:;1
evento:;2
24;1
agosto;1
dirección;1
fecha;1
límite;1
inscripción:;1
agosto.;1
link;1
cronograma:;1
https://drive.google.com/file/d/18ld8tnngaqd9s...;1
docs.google.com;1
les;1
compartimos;1
poco;1
fue;1
hackaton;2
llevada;1
ingenieria;2
universidad;1
distrital;1
francisco;1
jose;1
caldas.;1
#hackaton2018;1
#glud;1
#ud;3
#ciudadesinteligentes;1
#iot;1
2018-1;1
facebook.com;1
vez;1
dormí;1
menos;1
tres;1
horas;1
dos;1
semanas;1
sobreviví;1
(barely);1
tecnología;2
e;2
innovación;5
exposición;1
drones;1
@udistrital;7
¡participa;2
espacios;2
emprendimiento,;2
mediante;2
uso;2
ciencia;2
tecnología!;2
https://goo.gl/s15yng;1
unimos;1
ingenierías;1
damos;1
trabajar;1
juntos;1
grandes;1
invitados;1
germán;1
puerta,;1
temas;1
innovadores,;1
nuevos;1
auges”;1
luisa;3
cajamarca;2
@ieeeud;1
profesor;1
reynolds;1
habíamos;1
traído;1
pudimos;1
contactar.;1
eso;1
estuvo;1
presente;1
#semanadeingeniería”;1
fernanda;2
#alaire;1
cajamarca,;1
vicepresidente;1
rama;1
ieee,;1
habla;1
#felizjueves;1
análisis,;1
investigación,;1
actualidad;1
#revistadelamañana.;1
desde;1
celebración;1
sonia;1
2;1
others;2
#aestahora;1
|;1
avanza;1
desarrollo;2
realizará;2
hasta;1
18;1
mayo;1
amplía;1
aquí;1
información;1
participa;1
https://udistrital.edu.co/avanza-semana-ingenieria-e-innovacion;1
laud;1
estereo;1
#semanadeingeniería:;1
espectacular;1
#bigdata;1
próximo;1
jueves;1
#ubo.;1
instancia;1
expondrá;1
erick;1
méndez,;1
experto;1
8;1
#datamining;1
#machinelearning.;1
¡¡no;1
pierdas!!;1
realiza;1
#díadeldesarrollo;1
donde;1
discuten;1
desafíos;1
respecto;1
agua,;1
naturales;1
energías;1
renovables;1
participación;1
banco;1
interamericano;1
(bid).;1
#somosubo;1
#hackathon;1
días.;1
@uagrooficial;1
ponencia;1
daremos;1
motivo;1
#semanadeingenieria.;1
#systop;1
#uagro;1
#ingenieria;1
#lidar;1
#topografia;1
¡los;1
esperamos!;1
pronto;1
potencia;1
uma;1
#maristas;1
#universidadmarista;1
unos;1
divierten,;1
otros;1
pasamos;1
estresandonos;1
trabajos;1
le;1
sacamos;1
jugo;1
torito;1
mecánico;1
#iq;1
